Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Saucedemo-Shop/input-zipcode""), ""17812"")",Safari 18.6,,,05-10-2025 15:20:07,05-10-2025 15:20:07,0.071s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/continue-btn""), 10)",Safari 18.6,,,05-10-2025 15:20:07,05-10-2025 15:20:07,0.012s,PASSED
"click(findTestObject(""Saucedemo-Shop/continue-btn""))",Safari 18.6,,,05-10-2025 15:20:07,05-10-2025 15:20:07,0.058s,PASSED
"verifyTextPresent(""Checkout: Overview"", false)",Safari 18.6,,,05-10-2025 15:20:07,05-10-2025 15:20:07,0.013s,PASSED
"click(findTestObject(""Saucedemo-Shop/finish_btn""))",Safari 18.6,,,05-10-2025 15:20:07,05-10-2025 15:20:07,0.043s,PASSED
closeBrowser(),Safari 18.6,,,05-10-2025 15:20:07,05-10-2025 15:20:17,10.233s,PASSED
,,,,,,,
Test Cases/Task-Saucelab-Checkout,Safari 18.6,,,05-10-2025 15:20:17,05-10-2025 15:20:30,12.508s,PASSED
"DATA BINDING - {""id_product"":""3"",""productName"":""Sauce Labs Bolt T-Shirt""}",,,,,,,
Start listener action : beforeTestCase,Safari 18.6,,,05-10-2025 15:20:17,05-10-2025 15:20:17,0.001s,PASSED
"openBrowser("""")",Safari 18.6,,,05-10-2025 15:20:17,05-10-2025 15:20:18,0.793s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Safari 18.6,,,05-10-2025 15:20:18,05-10-2025 15:20:19,0.575s,PASSED
maximizeWindow(),Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.053s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/login-credentials""), 10)",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.029s,PASSED
"setText(findTestObject(""Saucedemo-Shop/username_field""), ""standard_user"")",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.099s,PASSED
"setText(findTestObject(""Saucedemo-Shop/password_field""), ""secret_sauce"")",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.097s,PASSED
"click(findTestObject(""Saucedemo-Shop/login_btn""))",Safari 18.6,,,05-10-2025 15:20:19,05-10-2025 15:20:19,0.070s,PASSED
